nodo_u,nodo_v,tipo_u,tipo_v,bat_u,bat_v,costo_mah
S-13,R-10,sensor,repetidor,40.0,55.0,2.073
S-08,S-15,sensor,sensor,65.0,55.0,3.4
S-15,R-08,sensor,repetidor,55.0,85.0,2.706
S-05,R-01,sensor,repetidor,65.0,40.0,5.775
S-17,R-05,sensor,repetidor,35.0,45.0,2.956
S-34,R-07,sensor,repetidor,45.0,65.0,1.315
R-01,GW-3,repetidor,gateway,40.0,100.0,0.77
S-22,R-05,sensor,repetidor,55.0,45.0,7.0
S-18,R-07,sensor,repetidor,30.0,65.0,2.631
S-26,R-07,sensor,repetidor,40.0,65.0,0.769
S-08,R-09,sensor,repetidor,65.0,45.0,4.011
S-02,R-02,sensor,repetidor,50.0,75.0,1.027
S-17,R-09,sensor,repetidor,35.0,45.0,5.378
S-28,R-10,sensor,repetidor,80.0,55.0,4.909
S-26,R-02,sensor,repetidor,40.0,75.0,1.82
S-14,R-05,sensor,repetidor,35.0,45.0,2.744
S-23,R-10,sensor,repetidor,30.0,55.0,5.536
R-04,GW-3,repetidor,gateway,75.0,100.0,2.09
S-10,S-18,sensor,sensor,40.0,30.0,7.283
R-06,R-10,repetidor,repetidor,65.0,55.0,2.769
S-32,R-08,sensor,repetidor,30.0,85.0,2.906
S-04,S-21,sensor,sensor,65.0,25.0,1.608
R-08,R-10,repetidor,repetidor,85.0,55.0,4.545
S-32,R-06,sensor,repetidor,30.0,65.0,2.585
S-16,R-02,sensor,repetidor,25.0,75.0,1.173
R-12,GW-2,repetidor,gateway,55.0,100.0,0.88
R-05,GW-1,repetidor,gateway,45.0,100.0,2.2
S-31,R-12,sensor,repetidor,40.0,55.0,1.145
S-07,R-10,sensor,repetidor,60.0,55.0,3.455
S-19,R-02,sensor,repetidor,45.0,75.0,1.32
S-25,R-10,sensor,repetidor,45.0,55.0,1.382
S-16,S-24,sensor,sensor,25.0,60.0,1.05
S-04,R-01,sensor,repetidor,65.0,40.0,3.675
S-11,R-03,sensor,repetidor,65.0,65.0,3.654
S-20,S-34,sensor,sensor,50.0,45.0,2.933
R-05,GW-2,repetidor,gateway,45.0,100.0,2.1
R-03,R-12,repetidor,repetidor,65.0,55.0,2.1
S-16,R-10,sensor,repetidor,25.0,55.0,2.2
S-28,R-08,sensor,repetidor,80.0,85.0,2.841
S-10,R-03,sensor,repetidor,40.0,65.0,3.392
S-27,R-03,sensor,repetidor,50.0,65.0,4.308
S-10,R-04,sensor,repetidor,40.0,75.0,3.42
R-11,GW-3,repetidor,gateway,90.0,100.0,1.76
S-01,R-07,sensor,repetidor,60.0,65.0,3.069
R-03,GW-3,repetidor,gateway,65.0,100.0,1.3
S-04,R-05,sensor,repetidor,65.0,45.0,2.444
S-04,S-09,sensor,sensor,65.0,50.0,4.092
S-19,R-03,sensor,repetidor,45.0,65.0,2.631
S-05,S-13,sensor,sensor,65.0,40.0,2.046
S-10,S-35,sensor,sensor,40.0,20.0,10.5
S-13,R-09,sensor,repetidor,40.0,45.0,6.3
R-02,GW-3,repetidor,gateway,75.0,100.0,1.8
R-12,GW-3,repetidor,gateway,55.0,100.0,0.72
R-07,R-08,repetidor,repetidor,65.0,85.0,3.692
R-07,R-11,repetidor,repetidor,65.0,90.0,2.778
R-06,GW-1,repetidor,gateway,65.0,100.0,1.2
R-08,GW-1,repetidor,gateway,85.0,100.0,2.565
R-01,GW-1,repetidor,gateway,40.0,100.0,1.9
S-14,S-34,sensor,sensor,35.0,45.0,3.2
S-20,R-06,sensor,repetidor,50.0,65.0,0.969
S-07,S-15,sensor,sensor,60.0,55.0,2.533
S-01,R-10,sensor,repetidor,60.0,55.0,2.073
R-03,R-04,repetidor,repetidor,65.0,75.0,1.013
S-26,S-28,sensor,sensor,40.0,80.0,2.85
S-06,R-12,sensor,repetidor,30.0,55.0,5.536
S-09,R-11,sensor,repetidor,50.0,90.0,0.889
S-09,R-06,sensor,repetidor,50.0,65.0,0.808
