id,nombre,tipo,bateria,grado,saltos_gw
1,S-01,sensor,60.0,2,2
2,S-02,sensor,50.0,2,2
3,S-03,sensor,50.0,2,2
4,S-04,sensor,65.0,4,2
5,S-05,sensor,65.0,4,2
6,S-06,sensor,30.0,2,2
7,S-07,sensor,60.0,2,2
8,S-08,sensor,65.0,2,2
9,S-09,sensor,50.0,4,2
10,S-10,sensor,40.0,4,2
11,S-11,sensor,65.0,1,2
12,S-12,sensor,60.0,1,2
13,S-13,sensor,40.0,3,2
14,S-14,sensor,35.0,3,2
15,S-15,sensor,55.0,4,2
16,S-16,sensor,25.0,3,2
17,S-17,sensor,35.0,2,2
18,S-18,sensor,30.0,2,2
19,S-19,sensor,45.0,2,2
20,S-20,sensor,50.0,2,2
21,S-21,sensor,25.0,2,2
22,S-22,sensor,55.0,1,2
23,S-23,sensor,30.0,1,2
24,S-24,sensor,60.0,3,2
25,S-25,sensor,45.0,2,2
26,S-26,sensor,40.0,4,2
27,S-27,sensor,50.0,2,2
28,S-28,sensor,80.0,3,2
29,S-29,sensor,40.0,2,2
30,S-30,sensor,55.0,2,2
31,S-31,sensor,40.0,2,2
32,S-32,sensor,30.0,2,2
33,S-33,sensor,70.0,1,2
34,S-34,sensor,45.0,4,2
35,S-35,sensor,20.0,3,2
36,R-01,repetidor,40.0,6,1
37,R-02,repetidor,75.0,5,1
38,R-03,repetidor,65.0,13,1
39,R-04,repetidor,75.0,5,1
40,R-05,repetidor,45.0,7,1
41,R-06,repetidor,65.0,7,1
42,R-07,repetidor,65.0,8,1
43,R-08,repetidor,85.0,8,1
44,R-09,repetidor,45.0,7,1
45,R-10,repetidor,55.0,12,1
46,R-11,repetidor,90.0,4,1
47,R-12,repetidor,55.0,5,1
48,GW-1,gateway,100.0,7,0
49,GW-2,gateway,100.0,6,0
50,GW-3,gateway,100.0,7,0
