sensor,saltos,camino,bat_media,gateway
S-01,2,S-01 → R-07 → GW-1,75.0,GW-1
S-02,2,S-02 → R-02 → GW-3,75.0,GW-3
S-03,2,S-03 → R-03 → GW-1,71.7,GW-1
S-04,2,S-04 → R-01 → GW-1,68.3,GW-1
S-05,2,S-05 → R-01 → GW-1,68.3,GW-1
S-06,2,S-06 → R-12 → GW-2,61.7,GW-2
S-07,2,S-07 → R-10 → GW-3,71.7,GW-3
S-08,2,S-08 → R-09 → GW-1,70.0,GW-1
S-09,2,S-09 → R-06 → GW-1,71.7,GW-1
S-10,2,S-10 → R-03 → GW-1,68.3,GW-1
S-11,2,S-11 → R-03 → GW-1,76.7,GW-1
S-12,2,S-12 → R-07 → GW-1,75.0,GW-1
S-13,2,S-13 → R-09 → GW-1,61.7,GW-1
S-14,2,S-14 → R-03 → GW-1,66.7,GW-1
S-15,2,S-15 → R-03 → GW-1,73.3,GW-1
S-16,2,S-16 → R-02 → GW-3,66.7,GW-3
S-17,2,S-17 → R-05 → GW-1,60.0,GW-1
S-18,2,S-18 → R-07 → GW-1,65.0,GW-1
S-19,2,S-19 → R-02 → GW-3,73.3,GW-3
S-20,2,S-20 → R-06 → GW-1,71.7,GW-1
S-21,2,S-21 → R-01 → GW-1,55.0,GW-1
S-22,2,S-22 → R-05 → GW-1,66.7,GW-1
S-23,2,S-23 → R-10 → GW-3,61.7,GW-3
S-24,2,S-24 → R-04 → GW-2,78.3,GW-2
S-25,2,S-25 → R-09 → GW-1,63.3,GW-1
S-26,2,S-26 → R-02 → GW-3,71.7,GW-3
S-27,2,S-27 → R-03 → GW-1,71.7,GW-1
S-28,2,S-28 → R-08 → GW-1,88.3,GW-1
S-29,2,S-29 → R-01 → GW-1,60.0,GW-1
S-30,2,S-30 → R-03 → GW-1,73.3,GW-1
S-31,2,S-31 → R-09 → GW-1,61.7,GW-1
S-32,2,S-32 → R-06 → GW-1,65.0,GW-1
S-33,2,S-33 → R-06 → GW-1,78.3,GW-1
S-34,2,S-34 → R-07 → GW-1,70.0,GW-1
S-35,2,S-35 → R-03 → GW-1,61.7,GW-1
