pieza_id,tipo_actuador,fecha_adquisicion,edad_dias,tiempo_uso_horas,ciclos_completados,temperatura_operacion_c,vibracion_rms,corriente_promedio_a,dias_desde_mantenimiento,pct_vida_util,tasa_fallo_por_1000h,eficiencia_energetica,drift_posicional_mm,clase_latente
14,Actuador Neumático,2023-07-23,314,2124.5,44250,40.51,1.285,3.592,47,21.25,0.263,0.8843,0.038,1
33,Motor Brushless DC,2020-06-29,1433,9814.5,244325,62.97,0.271,14.604,213,32.72,0.087,0.8999,0.0391,1
65,Motor Paso a Paso,2018-04-19,2235,16688.1,450765,84.15,1.007,6.365,292,66.75,4.0,0.78,0.5042,2
109,Motor Brushless DC,2014-01-28,3777,32942.3,1165200,106.2,2.168,24.353,854,109.81,10.294,0.3514,1.5253,3
9,Servo Motor Industrial,2022-12-16,533,4282.7,25961,53.89,0.693,11.58,72,21.41,0.322,0.8821,0.0364,1
115,Motor Paso a Paso,2013-07-21,3968,29563.2,954070,104.13,2.848,9.161,529,118.25,12.37,0.411,1.4698,3
72,Motor Paso a Paso,2018-01-06,2338,17683.8,597044,85.73,1.268,6.888,300,70.74,2.83,0.6998,0.3312,2
13,Servo Motor Industrial,2022-09-06,634,6929.7,112220,55.81,0.587,11.234,66,34.65,0.259,0.9001,0.0512,1
117,Servo Motor Industrial,2017-10-17,2419,19000.0,417454,97.65,4.273,19.831,362,95.0,11.062,0.4689,1.6938,3
79,Servo Motor Industrial,2018-09-30,2071,13081.6,298711,75.63,1.592,14.511,210,65.41,3.601,0.6716,0.4676,2
108,Motor Paso a Paso,2017-04-15,2604,28902.0,974476,94.56,2.813,8.151,502,115.61,12.72,0.4075,1.4201,3
1,Motor Paso a Paso,2022-11-03,576,4800.4,106683,57.74,0.421,4.476,108,19.2,0.351,0.9011,0.0496,1
68,Actuador Hidráulico,2021-10-11,964,10443.5,195827,67.54,2.691,10.171,135,69.62,3.021,0.7308,0.4394,2
47,Actuador Hidráulico,2022-09-03,637,4458.0,98337,46.75,1.048,7.479,49,29.72,0.238,0.9067,0.061,1
42,Motor Paso a Paso,2022-05-15,748,4821.7,141742,59.52,0.414,4.321,101,19.29,0.175,0.9039,0.0515,1
70,Servo Motor Industrial,2017-09-03,2463,15894.1,377523,74.63,2.015,14.511,218,79.47,3.625,0.6992,0.4832,2
105,Servo Motor Industrial,2016-05-24,2930,19000.0,397707,101.22,4.512,19.876,394,95.0,7.644,0.4862,1.0879,3
110,Actuador Hidráulico,2020-12-23,1256,15271.5,308502,91.77,4.597,16.133,255,101.81,12.428,0.478,1.4659,3
48,Motor Brushless DC,2021-03-25,1164,8610.5,155143,66.75,0.21,14.124,163,28.7,0.259,0.9054,0.0403,1
23,Actuador Neumático,2023-08-03,303,3691.3,81488,40.97,1.259,3.298,50,36.91,0.206,0.9699,0.0528,1
12,Actuador Neumático,2023-09-13,262,2375.4,35717,38.78,1.379,3.262,30,23.75,0.196,0.8749,0.0252,1
31,Actuador Neumático,2023-06-12,355,3753.0,93767,41.5,1.236,2.836,36,37.53,0.386,0.8993,0.0386,1
75,Servo Motor Industrial,2017-06-11,2547,16756.7,470387,75.2,1.623,14.873,215,83.78,3.696,0.6522,0.5154,2
10,Actuador Neumático,2022-12-07,542,5057.4,90418,40.03,1.35,3.248,45,50.57,0.267,0.9085,0.0513,1
106,Actuador Hidráulico,2019-06-15,1813,15913.1,361253,80.43,4.249,15.813,276,106.09,8.552,0.4202,1.8795,3
66,Actuador Hidráulico,2020-02-10,1573,12144.6,272527,67.55,2.897,10.07,130,80.96,3.668,0.656,0.4021,2
80,Actuador Hidráulico,2020-02-01,1582,10156.9,228114,65.93,2.719,9.675,160,67.71,3.598,0.6935,0.4473,2
94,Motor Paso a Paso,2015-06-19,3270,27917.7,900308,99.84,3.019,8.331,483,111.67,11.702,0.4421,1.5013,3
82,Servo Motor Industrial,2020-12-22,1257,13256.9,403668,79.2,1.762,15.3,239,66.28,4.343,0.6951,0.4082,2
97,Actuador Hidráulico,2017-03-04,2646,17128.7,313953,81.35,4.519,15.757,246,114.19,10.833,0.3812,1.5963,3
67,Servo Motor Industrial,2020-04-07,1516,12837.8,293213,79.2,2.1,15.3,198,64.19,2.715,0.7478,0.5275,2
5,Motor Brushless DC,2021-12-05,909,6461.5,138660,66.14,0.278,14.173,112,21.54,0.315,0.9232,0.0389,1
99,Motor Paso a Paso,2011-03-24,4818,31023.1,975298,105.42,2.753,8.98,461,124.09,11.958,0.4444,1.4824,3
36,Motor Brushless DC,2019-05-24,1835,12881.4,381519,67.07,0.249,15.063,164,42.94,0.211,0.9291,0.0334,1
92,Actuador Neumático,2020-04-13,1510,11779.3,240964,70.15,5.854,6.878,200,117.79,9.036,0.4099,1.8414,3
40,Motor Brushless DC,2020-12-10,1269,9344.3,348144,64.44,0.248,14.164,203,31.15,0.17,0.9036,0.0602,1
