pieza_id,tipo_actuador,fecha_adquisicion,edad_dias,cluster_id,cluster_nombre,pct_vida_util,tiempo_uso_horas,dias_desde_mantenimiento,tasa_fallo_por_1000h,vibracion_rms,temperatura_operacion_c,eficiencia_energetica,drift_posicional_mm,corriente_promedio_a
14,Actuador Neumático,2023-07-23,314,2,Mantenimiento Urgente,21.25,2124.5,47,0.263,1.285,40.51,0.8843,0.038,3.592
33,Motor Brushless DC,2020-06-29,1433,2,Mantenimiento Urgente,32.72,9814.5,213,0.087,0.271,62.97,0.8999,0.0391,14.604
109,Motor Brushless DC,2014-01-28,3777,1,Mantenimiento Programado,109.81,32942.3,854,10.294,2.168,106.2,0.3514,1.5253,24.353
9,Servo Motor Industrial,2022-12-16,533,2,Mantenimiento Urgente,21.41,4282.7,72,0.322,0.693,53.89,0.8821,0.0364,11.58
72,Motor Paso a Paso,2018-01-06,2338,3,Reemplazo,70.74,17683.8,300,2.83,1.268,85.73,0.6998,0.3312,6.888
13,Servo Motor Industrial,2022-09-06,634,2,Mantenimiento Urgente,34.65,6929.7,66,0.259,0.587,55.81,0.9001,0.0512,11.234
117,Servo Motor Industrial,2017-10-17,2419,1,Mantenimiento Programado,95.0,19000.0,362,11.062,4.273,97.65,0.4689,1.6938,19.831
79,Servo Motor Industrial,2018-09-30,2071,3,Reemplazo,65.41,13081.6,210,3.601,1.592,75.63,0.6716,0.4676,14.511
1,Motor Paso a Paso,2022-11-03,576,2,Mantenimiento Urgente,19.2,4800.4,108,0.351,0.421,57.74,0.9011,0.0496,4.476
68,Actuador Hidráulico,2021-10-11,964,3,Reemplazo,69.62,10443.5,135,3.021,2.691,67.54,0.7308,0.4394,10.171
47,Actuador Hidráulico,2022-09-03,637,2,Mantenimiento Urgente,29.72,4458.0,49,0.238,1.048,46.75,0.9067,0.061,7.479
70,Servo Motor Industrial,2017-09-03,2463,3,Reemplazo,79.47,15894.1,218,3.625,2.015,74.63,0.6992,0.4832,14.511
110,Actuador Hidráulico,2020-12-23,1256,1,Mantenimiento Programado,101.81,15271.5,255,12.428,4.597,91.77,0.478,1.4659,16.133
48,Motor Brushless DC,2021-03-25,1164,2,Mantenimiento Urgente,28.7,8610.5,163,0.259,0.21,66.75,0.9054,0.0403,14.124
12,Actuador Neumático,2023-09-13,262,2,Mantenimiento Urgente,23.75,2375.4,30,0.196,1.379,38.78,0.8749,0.0252,3.262
31,Actuador Neumático,2023-06-12,355,2,Mantenimiento Urgente,37.53,3753.0,36,0.386,1.236,41.5,0.8993,0.0386,2.836
75,Servo Motor Industrial,2017-06-11,2547,3,Reemplazo,83.78,16756.7,215,3.696,1.623,75.2,0.6522,0.5154,14.873
10,Actuador Neumático,2022-12-07,542,2,Mantenimiento Urgente,50.57,5057.4,45,0.267,1.35,40.03,0.9085,0.0513,3.248
106,Actuador Hidráulico,2019-06-15,1813,1,Mantenimiento Programado,106.09,15913.1,276,8.552,4.249,80.43,0.4202,1.8795,15.813
94,Motor Paso a Paso,2015-06-19,3270,1,Mantenimiento Programado,111.67,27917.7,483,11.702,3.019,99.84,0.4421,1.5013,8.331
82,Servo Motor Industrial,2020-12-22,1257,3,Reemplazo,66.28,13256.9,239,4.343,1.762,79.2,0.6951,0.4082,15.3
67,Servo Motor Industrial,2020-04-07,1516,3,Reemplazo,64.19,12837.8,198,2.715,2.1,79.2,0.7478,0.5275,15.3
5,Motor Brushless DC,2021-12-05,909,2,Mantenimiento Urgente,21.54,6461.5,112,0.315,0.278,66.14,0.9232,0.0389,14.173
99,Motor Paso a Paso,2011-03-24,4818,1,Mantenimiento Programado,124.09,31023.1,461,11.958,2.753,105.42,0.4444,1.4824,8.98
40,Motor Brushless DC,2020-12-10,1269,2,Mantenimiento Urgente,31.15,9344.3,203,0.17,0.248,64.44,0.9036,0.0602,14.164
120,Actuador Neumático,2021-04-01,1157,1,Mantenimiento Programado,105.35,10534.5,213,8.01,6.073,72.82,0.3778,1.4453,6.11
113,Actuador Neumático,2021-01-04,1244,1,Mantenimiento Programado,127.15,12715.2,188,10.387,5.641,69.26,0.471,1.4524,7.04
112,Motor Brushless DC,2009-07-17,5433,1,Mantenimiento Programado,112.16,33647.8,713,10.725,2.38,114.81,0.4573,1.6151,23.786
7,Actuador Hidráulico,2022-10-03,607,2,Mantenimiento Urgente,25.37,3804.9,46,0.3,1.131,44.05,0.9054,0.0333,7.461
32,Actuador Neumático,2023-08-28,278,2,Mantenimiento Urgente,24.55,2455.4,31,0.28,1.284,37.96,0.9158,0.0321,3.265
101,Motor Brushless DC,2015-01-08,3432,1,Mantenimiento Programado,112.33,33699.1,749,12.355,2.069,114.33,0.481,1.5965,24.591
78,Actuador Hidráulico,2021-05-01,1127,3,Reemplazo,68.16,10223.4,146,3.102,2.446,66.21,0.7012,0.5925,9.946
64,Motor Brushless DC,2016-04-18,2966,3,Reemplazo,68.46,20538.5,485,3.337,0.695,88.59,0.6992,0.3994,18.7
26,Servo Motor Industrial,2023-05-07,391,2,Mantenimiento Urgente,16.77,3354.6,88,0.253,0.706,53.02,0.8896,0.0645,11.163
22,Motor Paso a Paso,2021-12-23,891,2,Mantenimiento Urgente,28.29,7073.6,104,0.294,0.368,60.65,0.9151,0.0374,4.828
119,Motor Brushless DC,2009-03-10,5562,1,Mantenimiento Programado,118.39,35517.8,816,7.953,2.202,113.18,0.4192,1.7829,24.195
53,Motor Brushless DC,2018-02-27,2286,3,Reemplazo,63.17,18950.8,453,3.314,0.883,92.4,0.7116,0.517,18.7
90,Actuador Neumático,2022-01-01,882,3,Reemplazo,73.94,7393.7,114,4.418,3.596,50.11,0.6781,0.4822,3.85
30,Actuador Neumático,2023-02-25,462,2,Mantenimiento Urgente,33.18,3317.6,35,0.208,1.281,37.36,0.9028,0.0253,3.721
83,Actuador Neumático,2022-08-19,652,3,Reemplazo,72.32,7232.4,103,3.139,3.262,51.32,0.7335,0.4868,4.954
46,Actuador Hidráulico,2023-01-22,496,2,Mantenimiento Urgente,39.3,5894.9,48,0.348,1.034,47.43,0.9333,0.06,7.84
93,Actuador Hidráulico,2018-11-29,2011,1,Mantenimiento Programado,108.21,16231.1,307,12.098,4.419,88.09,0.3924,1.4447,15.624
85,Actuador Neumático,2022-05-20,743,3,Reemplazo,80.43,8043.3,92,3.704,3.589,52.67,0.7069,0.3806,4.68
