src_ip,dst_ip,src_vlan,dst_vlan,bytes
10.2.0.20,10.2.0.15,2,1,15030
10.1.0.15,10.1.0.18,2,2,5450
10.2.0.21,10.2.0.13,2,2,5663
10.1.0.13,10.1.0.12,2,2,7710
10.1.0.12,10.1.0.13,2,2,8645
10.1.0.21,10.1.0.19,2,2,6944
10.1.0.21,10.1.0.17,2,1,1944
10.1.0.12,10.1.0.16,2,1,5730
10.2.0.16,10.2.0.20,1,2,2705
10.3.0.21,10.3.0.18,2,2,14976
10.1.0.20,10.1.0.16,1,1,7800
10.1.0.14,10.1.0.20,3,1,8940
10.2.0.21,10.2.0.14,2,2,18306
10.3.0.11,10.3.0.10,2,2,6780
10.2.0.10,10.2.0.18,2,1,4590
10.3.0.11,10.3.0.17,2,2,14220
10.3.0.21,10.2.0.15,2,1,10089
10.2.0.19,10.2.0.10,1,2,12915
10.1.0.20,10.1.0.19,1,2,3220
10.2.0.14,10.2.0.19,2,1,10180
10.1.0.19,10.2.0.17,2,1,12532
10.2.0.15,10.2.0.19,1,1,1404
10.2.0.17,10.2.0.20,1,2,15030
10.3.0.15,10.2.0.13,1,2,4298
10.2.0.19,10.2.0.12,1,2,4944
10.2.0.18,10.2.0.21,1,2,6054
10.2.0.10,10.3.0.14,2,1,8500
10.1.0.14,10.1.0.11,3,1,10060
10.3.0.17,10.3.0.14,2,1,10320
10.1.0.18,10.1.0.20,2,1,2379
10.2.0.16,10.2.0.21,1,2,2352
10.2.0.17,10.2.0.11,1,1,3838
10.2.0.14,10.2.0.19,2,1,2629
10.2.0.13,10.2.0.16,2,1,10880
10.3.0.10,10.3.0.19,2,1,20140
10.3.0.15,10.3.0.21,1,2,15106
10.1.0.13,10.1.0.20,2,1,17346
10.2.0.21,10.2.0.11,2,1,5430
10.2.0.16,10.2.0.10,1,2,6435
10.3.0.12,10.3.0.13,1,2,13832
10.3.0.13,10.3.0.18,2,2,15066
10.3.0.11,10.3.0.19,2,1,1336
10.3.0.16,10.2.0.11,3,1,6192
10.1.0.18,10.1.0.14,2,3,16050
10.3.0.13,10.3.0.17,2,2,969
10.3.0.18,10.3.0.15,2,1,7259
10.2.0.13,10.2.0.10,2,2,7794
10.3.0.14,10.3.0.17,1,2,2220
10.2.0.20,10.2.0.12,2,2,3975
10.1.0.13,10.1.0.20,2,1,1194
10.2.0.17,10.2.0.11,1,1,8585
10.3.0.18,10.3.0.10,2,2,20596
10.1.0.11,10.1.0.16,1,1,4140
10.3.0.21,10.2.0.12,2,2,16032
10.1.0.14,10.1.0.19,3,2,3465
10.2.0.20,10.2.0.16,2,1,15232
10.2.0.17,10.2.0.20,1,2,6877
10.2.0.15,10.2.0.10,1,2,18083
10.3.0.16,10.3.0.10,3,2,10776
10.3.0.17,10.3.0.20,2,2,8204
10.3.0.12,10.1.0.17,1,1,4961
10.3.0.20,10.2.0.21,2,2,7338
10.2.0.14,10.3.0.10,2,2,13890
10.1.0.15,10.1.0.11,2,1,16663
10.3.0.20,10.3.0.21,2,2,5502
10.3.0.11,10.3.0.13,2,2,5136
10.1.0.18,10.1.0.12,2,2,5370
10.3.0.11,10.3.0.21,2,2,12410
10.2.0.21,10.2.0.18,2,1,3516
10.1.0.18,10.1.0.14,2,3,14620
10.1.0.13,10.1.0.11,2,1,5625
10.1.0.14,10.1.0.21,3,2,6912
10.3.0.12,10.3.0.14,1,1,22780
10.3.0.16,10.3.0.10,3,2,5088
10.2.0.12,10.2.0.15,2,1,13960
