src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.2.0.20,10.2.0.15,3,2,76330,3
10.1.0.20,10.1.0.17,4,2,153660,9
10.2.0.13,10.2.0.10,4,1,128640,7
10.3.0.16,10.3.0.17,4,2,28884,4
10.2.0.21,10.2.0.17,3,2,190792,10
10.3.0.21,10.3.0.18,3,4,162686,9
10.2.0.10,10.2.0.11,1,2,41149,3
10.3.0.16,10.3.0.18,4,4,97677,5
10.3.0.11,10.3.0.10,3,2,139854,5
10.3.0.19,10.3.0.14,1,2,64261,3
10.1.0.20,10.1.0.19,4,4,142458,4
10.1.0.19,10.1.0.20,4,4,63397,5
10.1.0.18,10.1.0.16,4,2,99544,5
10.2.0.21,10.2.0.13,3,4,81133,6
10.1.0.21,10.2.0.15,3,2,18260,1
10.3.0.16,10.3.0.21,4,3,145132,8
10.1.0.18,10.1.0.20,4,4,35316,2
10.1.0.16,10.1.0.12,2,1,54060,4
10.2.0.15,10.2.0.14,2,3,189198,7
10.3.0.14,10.2.0.15,2,2,54466,2
10.3.0.16,10.3.0.20,4,2,60459,4
10.1.0.15,10.1.0.16,4,2,100957,6
10.3.0.13,10.3.0.18,3,4,233075,6
10.2.0.12,10.3.0.19,3,1,8760,1
10.3.0.11,10.3.0.19,3,1,52248,5
10.2.0.15,10.2.0.12,2,3,62654,4
10.1.0.12,10.1.0.11,1,3,169162,6
10.1.0.13,10.1.0.20,4,4,31096,4
10.1.0.19,10.3.0.12,4,4,5336,2
10.1.0.15,10.1.0.21,4,3,65209,3
10.3.0.12,10.3.0.11,4,3,84047,4
10.2.0.13,10.3.0.12,4,4,1830,1
10.3.0.16,10.3.0.10,4,2,257845,9
10.3.0.12,10.1.0.17,4,2,17787,1
10.2.0.14,10.3.0.10,3,2,265,1
10.2.0.18,10.1.0.16,2,2,21168,1
10.1.0.13,10.2.0.15,4,2,15990,1
10.1.0.18,10.1.0.21,4,3,79061,3
10.1.0.14,10.1.0.21,4,3,87633,5
10.3.0.20,10.1.0.17,2,2,7287,1
10.2.0.14,10.1.0.16,3,2,68085,2
10.2.0.15,10.2.0.16,2,2,81502,4
10.3.0.18,10.2.0.16,4,2,18715,2
10.1.0.18,10.1.0.10,4,2,158852,6
10.2.0.12,10.2.0.10,3,1,124045,6
10.1.0.19,10.1.0.14,4,4,105750,4
10.3.0.20,10.3.0.17,2,2,153362,8
10.2.0.20,10.1.0.12,3,1,8480,1
10.1.0.12,10.1.0.13,1,4,72091,3
10.1.0.10,10.1.0.19,2,4,174124,7
10.1.0.13,10.2.0.19,4,4,21168,1
10.2.0.13,10.2.0.21,4,3,164129,7
10.2.0.17,10.2.0.10,2,1,126199,3
10.2.0.12,10.2.0.16,3,2,147889,7
10.3.0.15,10.3.0.17,3,2,61139,4
10.3.0.13,10.3.0.10,3,2,68068,5
10.3.0.19,10.3.0.17,1,2,35942,4
10.1.0.16,10.1.0.13,2,4,53725,3
10.2.0.11,10.2.0.17,2,2,91768,7
10.2.0.15,10.2.0.11,2,2,86271,6
10.3.0.15,10.3.0.19,3,1,86688,7
10.3.0.15,10.3.0.14,3,2,84726,3
10.3.0.18,10.1.0.21,4,3,3532,2
10.1.0.21,10.1.0.14,3,4,75851,4
10.1.0.10,10.3.0.13,2,3,2262,1
10.2.0.19,10.2.0.16,4,2,41227,4
10.3.0.18,10.3.0.17,4,2,148924,6
10.2.0.20,10.3.0.18,3,4,19194,2
10.2.0.15,10.3.0.18,2,4,8547,1
10.3.0.20,10.3.0.11,2,3,67657,3
10.3.0.15,10.3.0.11,3,3,183153,7
10.3.0.10,10.3.0.16,2,4,87676,5
10.1.0.16,10.1.0.10,2,2,214762,9
10.1.0.16,10.3.0.16,2,4,1068,1
10.2.0.21,10.2.0.10,3,1,26003,4
10.2.0.19,10.2.0.15,4,2,154439,6
10.2.0.14,10.2.0.15,3,2,312458,8
10.3.0.15,10.3.0.12,3,4,53442,3
10.2.0.12,10.2.0.14,3,3,32743,2
10.1.0.14,10.2.0.16,4,2,35937,1
10.1.0.19,10.3.0.21,4,3,53216,2
10.3.0.18,10.3.0.15,4,3,126994,5
10.2.0.21,10.2.0.16,3,2,85416,4
10.1.0.10,10.3.0.21,2,3,45261,1
10.3.0.19,10.2.0.11,1,2,16332,1
10.1.0.10,10.1.0.18,2,4,55158,4
10.2.0.20,10.2.0.16,3,2,69438,3
10.1.0.13,10.1.0.16,4,2,95209,7
