src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.2.0.20,10.2.0.15,2,1,31195,3
10.1.0.21,10.1.0.17,2,1,68861,7
10.1.0.12,10.1.0.16,2,1,45814,5
10.2.0.16,10.2.0.20,1,2,2705,1
10.1.0.14,10.1.0.20,3,1,40595,6
10.2.0.10,10.2.0.18,2,1,21910,4
10.3.0.21,10.2.0.15,2,1,15955,2
10.2.0.19,10.2.0.10,1,2,44301,5
10.1.0.20,10.1.0.19,1,2,5722,2
10.2.0.14,10.2.0.19,2,1,52757,7
10.1.0.19,10.2.0.17,2,1,13122,2
10.2.0.17,10.2.0.20,1,2,23452,3
10.3.0.15,10.2.0.13,1,2,4298,1
10.2.0.19,10.2.0.12,1,2,56992,6
10.2.0.18,10.2.0.21,1,2,82973,9
10.2.0.10,10.3.0.14,2,1,8500,1
10.1.0.14,10.1.0.11,3,1,34804,5
10.3.0.17,10.3.0.14,2,1,44232,6
10.1.0.18,10.1.0.20,2,1,20977,3
10.2.0.16,10.2.0.21,1,2,35251,4
10.2.0.13,10.2.0.16,2,1,18401,3
10.3.0.10,10.3.0.19,2,1,39906,5
10.3.0.15,10.3.0.21,1,2,39625,4
10.1.0.13,10.1.0.20,2,1,47321,5
10.2.0.21,10.2.0.11,2,1,30175,5
10.2.0.16,10.2.0.10,1,2,51311,6
10.3.0.12,10.3.0.13,1,2,45669,8
10.3.0.11,10.3.0.19,2,1,34546,4
10.3.0.16,10.2.0.11,3,1,6192,1
10.1.0.18,10.1.0.14,2,3,46266,5
10.3.0.18,10.3.0.15,2,1,18032,3
10.3.0.14,10.3.0.17,1,2,75047,9
10.1.0.14,10.1.0.19,3,2,24215,5
10.2.0.20,10.2.0.16,2,1,38612,4
10.2.0.15,10.2.0.10,1,2,28427,2
10.3.0.16,10.3.0.10,3,2,61911,6
10.1.0.15,10.1.0.11,2,1,49492,4
10.2.0.21,10.2.0.18,2,1,37049,3
10.1.0.13,10.1.0.11,2,1,33944,4
10.1.0.14,10.1.0.21,3,2,45026,9
10.2.0.12,10.2.0.15,2,1,74301,5
10.1.0.20,10.3.0.13,1,2,8460,1
10.3.0.17,10.3.0.15,2,1,45922,7
10.2.0.19,10.2.0.21,1,2,28703,4
10.3.0.12,10.3.0.21,1,2,26442,4
10.1.0.10,10.1.0.21,1,2,45379,4
10.3.0.17,10.3.0.12,2,1,20837,5
10.2.0.16,10.2.0.12,1,2,51880,6
10.3.0.15,10.1.0.12,1,2,25134,3
10.3.0.14,10.3.0.10,1,2,10040,1
10.1.0.20,10.1.0.12,1,2,58661,5
10.2.0.17,10.2.0.10,1,2,34911,4
10.2.0.14,10.3.0.12,2,1,6102,1
10.1.0.11,10.1.0.13,1,2,62083,5
10.1.0.11,10.1.0.19,1,2,720,1
10.3.0.20,10.1.0.10,2,1,27625,2
10.1.0.16,10.1.0.13,1,2,48886,6
10.2.0.21,10.2.0.17,2,1,60828,5
10.1.0.14,10.2.0.14,3,2,4566,1
10.2.0.15,10.3.0.17,1,2,21508,2
10.3.0.16,10.3.0.20,3,2,20563,3
10.1.0.21,10.1.0.14,2,3,28223,4
10.2.0.20,10.2.0.11,2,1,23979,4
10.2.0.20,10.3.0.12,2,1,19528,2
10.1.0.18,10.1.0.10,2,1,78453,6
10.2.0.17,10.2.0.13,1,2,47956,6
10.3.0.13,10.3.0.14,2,1,21554,2
10.2.0.13,10.2.0.18,2,1,36856,5
10.2.0.19,10.2.0.14,1,2,21416,4
10.2.0.20,10.2.0.19,2,1,44474,3
10.2.0.11,10.2.0.13,1,2,44607,5
10.1.0.12,10.1.0.11,2,1,12116,2
10.3.0.14,10.3.0.18,1,2,45249,4
10.3.0.16,10.3.0.15,3,1,63918,5
10.3.0.20,10.3.0.15,2,1,28273,5
10.2.0.17,10.3.0.18,1,2,22040,1
10.3.0.11,10.2.0.17,2,1,8973,2
10.1.0.14,10.1.0.16,3,1,22700,4
10.2.0.14,10.2.0.17,2,1,54754,7
10.1.0.14,10.2.0.16,3,1,9268,2
