src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.1.0.20,10.1.0.16,1,1,40381,5
10.2.0.15,10.2.0.19,1,1,23277,5
10.2.0.17,10.2.0.11,1,1,21609,4
10.1.0.11,10.1.0.16,1,1,48769,6
10.3.0.12,10.1.0.17,1,1,4961,1
10.3.0.12,10.3.0.14,1,1,66998,5
10.1.0.20,10.3.0.19,1,1,11456,1
10.2.0.19,10.2.0.11,1,1,44946,5
10.1.0.20,10.1.0.17,1,1,29907,4
10.2.0.11,10.2.0.17,1,1,24820,3
10.2.0.19,10.2.0.16,1,1,23145,2
10.1.0.16,10.1.0.11,1,1,4839,2
10.2.0.15,10.2.0.16,1,1,64820,10
10.1.0.20,10.1.0.10,1,1,19141,3
10.3.0.15,10.2.0.18,1,1,10736,1
10.2.0.16,10.2.0.11,1,1,61903,7
10.3.0.19,10.1.0.11,1,1,1060,1
10.2.0.17,10.2.0.16,1,1,37358,5
10.3.0.19,10.2.0.11,1,1,11844,1
10.1.0.16,10.1.0.10,1,1,17596,2
10.2.0.16,10.2.0.17,1,1,16524,1
10.2.0.18,10.1.0.17,1,1,32028,2
10.2.0.18,10.2.0.15,1,1,29335,3
10.1.0.11,10.1.0.17,1,1,7988,2
10.3.0.12,10.3.0.19,1,1,24899,2
10.1.0.10,10.1.0.16,1,1,25740,4
10.2.0.18,10.2.0.11,1,1,54300,7
10.3.0.19,10.3.0.12,1,1,9918,2
10.2.0.11,10.2.0.18,1,1,24652,3
10.3.0.14,10.3.0.12,1,1,40093,4
10.1.0.17,10.3.0.12,1,1,4432,1
10.1.0.17,10.1.0.10,1,1,50164,3
10.2.0.11,10.3.0.14,1,1,14377,1
10.2.0.17,10.2.0.18,1,1,2336,1
10.1.0.17,10.1.0.11,1,1,27916,4
10.3.0.12,10.2.0.17,1,1,20860,1
10.1.0.16,10.2.0.19,1,1,12924,1
10.3.0.14,10.2.0.16,1,1,3272,1
10.2.0.17,10.3.0.14,1,1,2624,1
10.1.0.20,10.2.0.19,1,1,21903,2
10.2.0.15,10.2.0.11,1,1,34753,5
10.2.0.18,10.1.0.11,1,1,15876,1
10.3.0.19,10.3.0.14,1,1,19998,2
10.1.0.16,10.1.0.17,1,1,41694,5
10.2.0.15,10.2.0.17,1,1,35067,2
10.2.0.16,10.2.0.15,1,1,36555,3
10.2.0.16,10.2.0.19,1,1,17118,4
10.2.0.19,10.2.0.18,1,1,39177,4
10.2.0.11,10.1.0.11,1,1,40533,3
10.2.0.11,10.2.0.16,1,1,53901,4
10.2.0.15,10.1.0.10,1,1,7884,1
10.2.0.11,10.2.0.19,1,1,40276,3
10.2.0.19,10.1.0.10,1,1,17264,1
10.3.0.15,10.1.0.20,1,1,4564,1
10.1.0.11,10.3.0.12,1,1,5652,1
10.3.0.15,10.2.0.11,1,1,1945,1
10.1.0.10,10.1.0.20,1,1,7429,3
10.2.0.18,10.2.0.19,1,1,10869,3
10.1.0.11,10.2.0.15,1,1,2259,1
10.1.0.10,10.1.0.11,1,1,17341,3
10.1.0.10,10.1.0.17,1,1,32044,3
10.3.0.19,10.3.0.15,1,1,44906,4
10.1.0.17,10.1.0.16,1,1,17121,1
10.1.0.17,10.2.0.16,1,1,15048,2
10.2.0.15,10.1.0.17,1,1,5677,1
10.2.0.17,10.2.0.19,1,1,20723,2
10.2.0.19,10.2.0.15,1,1,24570,2
10.1.0.10,10.2.0.15,1,1,14154,1
10.1.0.11,10.1.0.20,1,1,23275,3
10.1.0.20,10.1.0.11,1,1,28121,3
10.2.0.11,10.2.0.15,1,1,39491,6
10.3.0.15,10.2.0.19,1,1,11018,1
10.3.0.14,10.3.0.19,1,1,14640,1
10.2.0.16,10.2.0.18,1,1,21956,2
10.2.0.19,10.1.0.17,1,1,9527,1
10.3.0.14,10.2.0.15,1,1,16677,1
10.3.0.12,10.1.0.10,1,1,5348,1
10.1.0.20,10.3.0.12,1,1,4266,1
10.3.0.19,10.2.0.17,1,1,22940,1
10.3.0.15,10.3.0.12,1,1,13409,1
10.3.0.19,10.1.0.10,1,1,8801,1
10.1.0.17,10.2.0.15,1,1,8480,1
10.3.0.19,10.2.0.19,1,1,9660,1
10.2.0.16,10.1.0.20,1,1,15624,1
10.2.0.11,10.3.0.12,1,1,4849,1
10.1.0.17,10.2.0.18,1,1,9595,1
10.1.0.16,10.1.0.20,1,1,7903,1
10.3.0.14,10.1.0.16,1,1,13277,1
10.2.0.19,10.2.0.17,1,1,9350,2
10.2.0.11,10.3.0.19,1,1,7308,1
10.2.0.19,10.1.0.16,1,1,1720,1
10.1.0.10,10.3.0.19,1,1,13365,1
10.3.0.19,10.2.0.16,1,1,5603,1
10.2.0.18,10.1.0.16,1,1,9008,1
10.1.0.16,10.2.0.18,1,1,742,1
10.2.0.18,10.2.0.16,1,1,12660,1
10.3.0.14,10.3.0.15,1,1,6540,1
10.1.0.10,10.2.0.16,1,1,9084,1
10.3.0.12,10.3.0.15,1,1,13455,1
10.1.0.17,10.1.0.20,1,1,3618,2
10.1.0.16,10.2.0.15,1,1,6902,1
10.1.0.16,10.2.0.17,1,1,10165,1
