src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.2.0.20,10.2.0.15,3,5,70,1,true
10.1.0.20,10.1.0.17,4,4,32467,2,false
10.2.0.13,10.2.0.10,5,5,292,2,false
10.3.0.16,10.3.0.17,1,2,2457,2,true
10.2.0.21,10.2.0.17,3,3,327,2,false
10.3.0.21,10.3.0.18,1,1,5583,3,false
10.2.0.10,10.2.0.11,5,3,79,1,true
10.3.0.16,10.3.0.18,1,1,744,1,false
10.3.0.11,10.3.0.10,1,1,5589,3,false
10.3.0.19,10.3.0.14,1,2,44747,4,true
10.1.0.20,10.1.0.19,4,4,49818,4,false
10.1.0.19,10.1.0.20,4,4,24497,3,false
10.1.0.18,10.1.0.16,4,4,10503,1,false
10.2.0.21,10.2.0.13,3,5,87,1,true
10.1.0.21,10.2.0.18,4,5,10748,1,true
10.3.0.16,10.3.0.21,1,1,3546,2,false
10.1.0.18,10.1.0.20,4,4,18941,2,false
10.1.0.16,10.1.0.12,4,4,45227,3,false
10.2.0.15,10.2.0.14,5,3,104,1,true
10.3.0.14,10.1.0.19,2,4,1990,1,true
10.3.0.16,10.3.0.20,1,1,1209,2,false
10.1.0.15,10.1.0.16,4,4,104270,7,false
10.3.0.13,10.3.0.18,1,1,51178,2,false
10.3.0.16,10.1.0.14,1,4,1536,1,true
10.3.0.13,10.3.0.17,1,2,5306,2,true
10.1.0.17,10.1.0.19,4,4,23516,2,false
10.1.0.16,10.1.0.17,4,4,18620,3,false
10.3.0.16,10.3.0.13,1,1,8484,5,false
10.2.0.19,10.2.0.21,5,3,306,2,true
10.3.0.21,10.1.0.16,1,4,47794,1,true
10.2.0.18,10.2.0.20,5,3,15474,5,true
10.2.0.15,10.2.0.10,5,5,7744,5,false
10.3.0.20,10.2.0.20,1,3,2271,1,true
10.1.0.18,10.3.0.21,4,1,7038,1,true
10.2.0.20,10.2.0.10,3,5,609,4,true
10.1.0.19,10.1.0.17,4,4,67898,5,false
10.1.0.16,10.1.0.13,4,4,36057,4,false
10.1.0.11,10.1.0.17,4,4,8762,2,false
10.1.0.13,10.1.0.11,4,4,69239,3,false
10.3.0.14,10.3.0.13,2,1,5795,2,true
10.1.0.18,10.1.0.14,4,4,23954,4,false
10.2.0.21,10.2.0.16,3,5,43515,3,true
10.1.0.16,10.1.0.11,4,4,21694,2,false
10.1.0.12,10.2.0.13,4,5,8111,1,true
10.2.0.14,10.2.0.13,3,5,28826,5,true
10.2.0.15,10.2.0.19,5,5,16125,5,false
10.2.0.16,10.1.0.13,5,4,85,1,true
10.3.0.17,10.3.0.21,2,1,7747,4,true
10.2.0.21,10.1.0.20,3,4,618,4,true
10.2.0.15,10.2.0.13,5,5,260,3,false
10.1.0.14,10.1.0.11,4,4,26579,2,false
10.2.0.15,10.2.0.21,5,3,496,4,true
10.2.0.17,10.2.0.10,3,5,528,3,true
10.2.0.12,10.2.0.16,5,5,540,5,false
10.3.0.15,10.3.0.17,2,2,10739,6,false
10.3.0.13,10.3.0.10,1,1,2728,2,false
10.3.0.19,10.3.0.17,1,2,958,1,true
10.2.0.11,10.2.0.17,3,3,384,4,false
10.2.0.15,10.2.0.11,5,3,31148,2,true
10.2.0.17,10.2.0.16,3,5,388,2,true
10.3.0.15,10.3.0.14,2,2,4251,3,false
10.3.0.18,10.2.0.17,1,3,550,1,true
10.2.0.19,10.2.0.12,5,5,588,5,false
10.3.0.18,10.3.0.13,1,1,6011,5,false
10.2.0.13,10.2.0.12,5,5,501,5,false
10.3.0.16,10.3.0.12,1,2,2500,2,true
10.1.0.13,10.1.0.20,4,4,13296,2,false
10.3.0.21,10.2.0.19,1,5,1103,1,true
10.1.0.13,10.1.0.19,4,4,13250,3,false
10.1.0.13,10.1.0.18,4,4,13297,2,false
10.1.0.15,10.1.0.19,4,4,51198,4,false
10.2.0.17,10.1.0.21,3,4,62,1,true
10.1.0.12,10.1.0.17,4,4,39659,3,false
10.3.0.13,10.2.0.19,1,5,435,1,true
10.1.0.10,10.1.0.19,4,4,62086,8,false
10.1.0.13,10.3.0.20,4,1,9127,1,true
10.3.0.16,10.1.0.18,1,4,15399,2,true
10.1.0.12,10.1.0.16,4,4,21679,3,false
10.2.0.17,10.1.0.13,3,4,12859,1,true
10.1.0.16,10.2.0.16,4,5,7263,1,true
10.1.0.10,10.3.0.20,4,1,14075,1,true
10.3.0.19,10.3.0.20,1,1,32900,4,false
