src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.2.0.20,10.2.0.15,3,5,70,1,true
10.3.0.16,10.3.0.17,1,2,2457,2,true
10.2.0.10,10.2.0.11,5,3,79,1,true
10.3.0.19,10.3.0.14,1,2,44747,4,true
10.2.0.21,10.2.0.13,3,5,87,1,true
10.1.0.21,10.2.0.18,4,5,10748,1,true
10.2.0.15,10.2.0.14,5,3,104,1,true
10.3.0.14,10.1.0.19,2,4,1990,1,true
10.3.0.16,10.1.0.14,1,4,1536,1,true
10.3.0.13,10.3.0.17,1,2,5306,2,true
10.2.0.19,10.2.0.21,5,3,306,2,true
10.3.0.21,10.1.0.16,1,4,47794,1,true
10.2.0.18,10.2.0.20,5,3,15474,5,true
10.3.0.20,10.2.0.20,1,3,2271,1,true
10.1.0.18,10.3.0.21,4,1,7038,1,true
10.2.0.20,10.2.0.10,3,5,609,4,true
10.3.0.14,10.3.0.13,2,1,5795,2,true
10.2.0.21,10.2.0.16,3,5,43515,3,true
10.1.0.12,10.2.0.13,4,5,8111,1,true
10.2.0.14,10.2.0.13,3,5,28826,5,true
10.2.0.16,10.1.0.13,5,4,85,1,true
10.3.0.17,10.3.0.21,2,1,7747,4,true
10.2.0.21,10.1.0.20,3,4,618,4,true
10.2.0.15,10.2.0.21,5,3,496,4,true
10.2.0.17,10.2.0.10,3,5,528,3,true
10.3.0.19,10.3.0.17,1,2,958,1,true
10.2.0.15,10.2.0.11,5,3,31148,2,true
10.2.0.17,10.2.0.16,3,5,388,2,true
10.3.0.18,10.2.0.17,1,3,550,1,true
10.3.0.16,10.3.0.12,1,2,2500,2,true
10.3.0.21,10.2.0.19,1,5,1103,1,true
10.2.0.17,10.1.0.21,3,4,62,1,true
10.3.0.13,10.2.0.19,1,5,435,1,true
10.1.0.13,10.3.0.20,4,1,9127,1,true
10.3.0.16,10.1.0.18,1,4,15399,2,true
10.2.0.17,10.1.0.13,3,4,12859,1,true
10.1.0.16,10.2.0.16,4,5,7263,1,true
10.1.0.10,10.3.0.20,4,1,14075,1,true
10.2.0.18,10.2.0.14,5,3,46633,4,true
10.3.0.20,10.3.0.15,1,2,3099,2,true
10.2.0.17,10.2.0.15,3,5,86,1,true
10.3.0.14,10.3.0.21,2,1,3307,2,true
10.2.0.16,10.2.0.17,5,3,45880,2,true
10.2.0.18,10.2.0.11,5,3,230,2,true
10.3.0.20,10.3.0.17,1,2,626,1,true
10.2.0.14,10.1.0.14,3,4,122,2,true
10.2.0.17,10.2.0.13,3,5,479,3,true
10.2.0.16,10.2.0.20,5,3,240,2,true
10.2.0.14,10.2.0.12,3,5,358,2,true
10.2.0.13,10.2.0.20,5,3,33752,5,true
10.3.0.11,10.1.0.19,1,4,2015,1,true
10.3.0.10,10.1.0.21,1,4,2658,2,true
10.2.0.10,10.2.0.14,5,3,10757,3,true
10.2.0.14,10.3.0.13,3,1,124,1,true
10.2.0.20,10.2.0.19,3,5,83,1,true
10.2.0.16,10.2.0.14,5,3,46282,3,true
10.3.0.13,10.1.0.21,1,4,571,1,true
10.3.0.10,10.2.0.21,1,3,1895,1,true
10.2.0.13,10.1.0.20,5,4,20415,1,true
10.2.0.17,10.2.0.12,3,5,769,4,true
10.1.0.15,10.3.0.14,4,2,7807,1,true
10.3.0.20,10.1.0.18,1,4,18460,1,true
10.2.0.14,10.1.0.17,3,4,46113,1,true
10.3.0.17,10.2.0.16,2,5,973,1,true
10.3.0.10,10.1.0.15,1,4,2421,1,true
10.3.0.20,10.1.0.13,1,4,401,1,true
10.3.0.11,10.1.0.15,1,4,1468,1,true
10.2.0.11,10.1.0.16,3,4,62058,1,true
10.3.0.19,10.2.0.13,1,5,2771,1,true
10.3.0.19,10.2.0.20,1,3,1962,1,true
10.3.0.12,10.1.0.21,2,4,2872,1,true
10.3.0.17,10.3.0.13,2,1,18317,3,true
10.3.0.17,10.3.0.19,2,1,61554,1,true
10.2.0.12,10.2.0.11,5,3,26354,5,true
10.2.0.19,10.1.0.17,5,4,184,1,true
10.2.0.19,10.2.0.14,5,3,151,1,true
10.3.0.20,10.3.0.14,1,2,2532,1,true
10.3.0.14,10.3.0.16,2,1,15991,3,true
10.1.0.17,10.3.0.12,4,2,20456,2,true
10.1.0.19,10.2.0.11,4,3,4318,1,true
10.3.0.15,10.3.0.18,2,1,6600,4,true
10.3.0.12,10.3.0.10,2,1,4597,2,true
10.3.0.11,10.3.0.12,1,2,2867,1,true
10.2.0.19,10.2.0.20,5,3,7751,7,true
10.2.0.15,10.3.0.17,5,2,217,1,true
10.2.0.10,10.2.0.20,5,3,321,2,true
10.2.0.15,10.2.0.17,5,3,313,2,true
10.2.0.14,10.3.0.21,3,1,79,1,true
10.2.0.19,10.2.0.17,5,3,218,2,true
10.3.0.16,10.3.0.14,1,2,1420,1,true
10.2.0.12,10.2.0.21,5,3,53084,1,true
10.3.0.19,10.3.0.12,1,2,21393,4,true
10.3.0.19,10.3.0.15,1,2,57064,3,true
10.3.0.14,10.3.0.10,2,1,4454,2,true
10.2.0.11,10.2.0.10,3,5,59415,2,true
