src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.3.0.21,10.3.0.18,1,1,5583,3,false
10.3.0.16,10.3.0.18,1,1,744,1,false
10.3.0.11,10.3.0.10,1,1,5589,3,false
10.3.0.16,10.3.0.21,1,1,3546,2,false
10.3.0.16,10.3.0.20,1,1,1209,2,false
10.3.0.13,10.3.0.18,1,1,51178,2,false
10.3.0.16,10.3.0.13,1,1,8484,5,false
10.3.0.13,10.3.0.10,1,1,2728,2,false
10.3.0.18,10.3.0.13,1,1,6011,5,false
10.3.0.19,10.3.0.20,1,1,32900,4,false
10.3.0.18,10.3.0.11,1,1,19997,5,false
10.3.0.10,10.3.0.11,1,1,2264,1,false
10.3.0.10,10.3.0.19,1,1,4068,2,false
10.3.0.16,10.3.0.19,1,1,7456,5,false
10.3.0.11,10.3.0.20,1,1,1495,2,false
10.3.0.10,10.3.0.13,1,1,17345,5,false
10.3.0.21,10.3.0.20,1,1,5834,3,false
10.3.0.19,10.3.0.16,1,1,52814,3,false
10.3.0.10,10.3.0.16,1,1,464,1,false
10.3.0.11,10.3.0.21,1,1,64966,3,false
10.3.0.18,10.3.0.10,1,1,47926,2,false
10.3.0.21,10.3.0.13,1,1,653,1,false
10.3.0.13,10.3.0.20,1,1,559,1,false
10.3.0.16,10.3.0.11,1,1,4896,2,false
10.3.0.19,10.3.0.10,1,1,2993,1,false
10.3.0.20,10.3.0.10,1,1,68352,5,false
10.3.0.10,10.3.0.21,1,1,3897,2,false
10.3.0.13,10.3.0.19,1,1,6417,3,false
10.3.0.19,10.3.0.13,1,1,5552,3,false
10.3.0.11,10.3.0.19,1,1,5083,4,false
10.3.0.20,10.3.0.11,1,1,63949,4,false
10.3.0.18,10.3.0.20,1,1,1998,1,false
10.3.0.13,10.3.0.11,1,1,5933,3,false
10.3.0.21,10.3.0.19,1,1,59245,3,false
10.3.0.20,10.3.0.21,1,1,2874,1,false
10.3.0.21,10.3.0.11,1,1,1894,1,false
10.3.0.18,10.3.0.19,1,1,2732,3,false
10.3.0.11,10.3.0.18,1,1,28952,2,false
10.3.0.13,10.3.0.21,1,1,43064,2,false
10.3.0.10,10.3.0.20,1,1,1422,1,false
10.3.0.20,10.3.0.18,1,1,5853,3,false
10.3.0.20,10.3.0.13,1,1,2829,2,false
10.3.0.19,10.3.0.21,1,1,1695,1,false
10.3.0.20,10.3.0.19,1,1,1055,1,false
10.3.0.18,10.3.0.21,1,1,2352,1,false
10.3.0.11,10.3.0.13,1,1,1417,1,false
10.3.0.20,10.3.0.16,1,1,60712,2,false
10.3.0.19,10.3.0.18,1,1,18941,1,false
10.3.0.18,10.3.0.16,1,1,781,1,false
