host_id,ip,out_flows,in_flows,out_bytes,in_bytes,unique_peers,bytes_per_flow,ratio_intra
1,10.1.0.10,62.0,58.0,1.003049e6,1.163423e6,23.0,16178.209677419354,0.7580645161290323
2,10.1.0.11,50.0,64.0,1.111967e6,1.173839e6,25.0,22239.34,0.9
3,10.1.0.12,47.0,51.0,1.043588e6,1.050259e6,25.0,22204.0,0.7021276595744681
4,10.1.0.13,46.0,45.0,829405.0,805000.0,23.0,18030.543478260868,0.8695652173913043
5,10.1.0.14,52.0,49.0,1.047263e6,905101.0,21.0,20139.673076923078,0.8846153846153846
6,10.1.0.15,55.0,48.0,873363.0,868338.0,24.0,15879.327272727272,0.8
7,10.1.0.16,62.0,74.0,1.224388e6,1.46088e6,31.0,19748.1935483871,0.8225806451612904
8,10.1.0.17,59.0,66.0,1.099462e6,1.090622e6,25.0,18634.949152542373,0.8135593220338984
9,10.1.0.18,51.0,49.0,974908.0,947044.0,21.0,19115.843137254902,0.8823529411764706
10,10.1.0.19,53.0,41.0,895279.0,923355.0,19.0,16892.056603773584,0.8301886792452831
11,10.1.0.20,56.0,40.0,1.006806e6,548552.0,19.0,17978.678571428572,0.875
12,10.1.0.21,53.0,51.0,1.105085e6,931824.0,25.0,20850.66037735849,0.8301886792452831
13,10.2.0.10,39.0,63.0,833859.0,1.158898e6,25.0,21381.0,0.8205128205128205
14,10.2.0.11,69.0,54.0,1.382483e6,1.168942e6,28.0,20035.985507246376,0.8405797101449275
15,10.2.0.12,51.0,62.0,981650.0,1.262701e6,26.0,19248.039215686276,0.9215686274509803
16,10.2.0.13,59.0,45.0,1.103896e6,933676.0,21.0,18710.101694915254,0.864406779661017
17,10.2.0.14,52.0,64.0,1.129465e6,1.395336e6,25.0,21720.48076923077,0.8461538461538461
18,10.2.0.15,65.0,56.0,1.264807e6,1.273425e6,24.0,19458.56923076923,0.8461538461538461
19,10.2.0.16,57.0,56.0,1.064819e6,1.253745e6,25.0,18681.035087719298,0.8421052631578947
20,10.2.0.17,58.0,52.0,1.150895e6,967069.0,24.0,19843.01724137931,0.7586206896551724
21,10.2.0.18,58.0,58.0,1.292288e6,1.081346e6,24.0,22280.827586206895,0.8448275862068966
22,10.2.0.19,48.0,53.0,839719.0,1.158502e6,20.0,17494.145833333332,0.9583333333333334
23,10.2.0.20,52.0,66.0,1.152176e6,1.18041e6,23.0,22157.23076923077,0.8461538461538461
24,10.2.0.21,62.0,61.0,1.111193e6,1.116449e6,21.0,17922.467741935485,0.8870967741935484
25,10.3.0.10,62.0,63.0,1.128322e6,1.188989e6,24.0,18198.74193548387,0.7741935483870968
26,10.3.0.11,57.0,54.0,1.146189e6,1.051097e6,21.0,20108.57894736842,0.8947368421052632
27,10.3.0.12,52.0,50.0,899776.0,1.014446e6,22.0,17303.384615384617,0.8846153846153846
28,10.3.0.13,47.0,57.0,1.148367e6,1.043515e6,24.0,24433.340425531915,0.8936170212765957
29,10.3.0.14,64.0,60.0,1.160632e6,941013.0,26.0,18134.875,0.84375
30,10.3.0.15,56.0,56.0,1.051842e6,1.138523e6,23.0,18782.89285714286,0.8928571428571429
31,10.3.0.16,54.0,53.0,1.040415e6,965915.0,21.0,19266.944444444445,0.8888888888888888
32,10.3.0.17,65.0,56.0,1.39652e6,910561.0,21.0,21484.923076923078,0.8461538461538461
33,10.3.0.18,59.0,50.0,1.038329e6,1.045709e6,22.0,17598.79661016949,0.7966101694915254
34,10.3.0.19,42.0,66.0,721985.0,1.452705e6,25.0,17190.119047619046,0.7857142857142857
35,10.3.0.20,66.0,45.0,1.31721e6,840911.0,24.0,19957.727272727272,0.8333333333333334
36,10.3.0.21,60.0,64.0,1.054411e6,1.213691e6,20.0,17573.516666666666,0.8833333333333333
