host_id,ip,subnet,latent_vlan,vlan_name
1,10.1.0.10,10.1.0.0/24,1,Web/App
2,10.1.0.11,10.1.0.0/24,1,Web/App
3,10.1.0.12,10.1.0.0/24,1,Web/App
4,10.1.0.13,10.1.0.0/24,1,Web/App
5,10.1.0.14,10.1.0.0/24,1,Web/App
6,10.1.0.15,10.1.0.0/24,1,Web/App
7,10.1.0.16,10.1.0.0/24,1,Web/App
8,10.1.0.17,10.1.0.0/24,1,Web/App
9,10.1.0.18,10.1.0.0/24,1,Web/App
10,10.1.0.19,10.1.0.0/24,1,Web/App
11,10.1.0.20,10.1.0.0/24,1,Web/App
12,10.1.0.21,10.1.0.0/24,1,Web/App
13,10.2.0.10,10.2.0.0/24,2,VoIP/Media
14,10.2.0.11,10.2.0.0/24,2,VoIP/Media
15,10.2.0.12,10.2.0.0/24,2,VoIP/Media
16,10.2.0.13,10.2.0.0/24,2,VoIP/Media
17,10.2.0.14,10.2.0.0/24,2,VoIP/Media
18,10.2.0.15,10.2.0.0/24,2,VoIP/Media
19,10.2.0.16,10.2.0.0/24,2,VoIP/Media
20,10.2.0.17,10.2.0.0/24,2,VoIP/Media
21,10.2.0.18,10.2.0.0/24,2,VoIP/Media
22,10.2.0.19,10.2.0.0/24,2,VoIP/Media
23,10.2.0.20,10.2.0.0/24,2,VoIP/Media
24,10.2.0.21,10.2.0.0/24,2,VoIP/Media
25,10.3.0.10,10.3.0.0/24,3,SSH/Mgmt
26,10.3.0.11,10.3.0.0/24,3,SSH/Mgmt
27,10.3.0.12,10.3.0.0/24,3,SSH/Mgmt
28,10.3.0.13,10.3.0.0/24,3,SSH/Mgmt
29,10.3.0.14,10.3.0.0/24,3,SSH/Mgmt
30,10.3.0.15,10.3.0.0/24,3,SSH/Mgmt
31,10.3.0.16,10.3.0.0/24,3,SSH/Mgmt
32,10.3.0.17,10.3.0.0/24,3,SSH/Mgmt
33,10.3.0.18,10.3.0.0/24,3,SSH/Mgmt
34,10.3.0.19,10.3.0.0/24,3,SSH/Mgmt
35,10.3.0.20,10.3.0.0/24,3,SSH/Mgmt
36,10.3.0.21,10.3.0.0/24,3,SSH/Mgmt
