ts,src_id,dst_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms
1,23,18,10.2.0.20,10.2.0.15,30507,5068,UDP,7,70,44
2,11,8,10.1.0.20,10.1.0.17,13382,177,TCP,10,7980,1399
3,16,13,10.2.0.13,10.2.0.10,29030,5019,UDP,4,148,26
4,31,32,10.3.0.16,10.3.0.17,6141,22,TCP,12,2222,338
5,24,20,10.2.0.21,10.2.0.17,20131,5053,UDP,9,123,18
6,36,33,10.3.0.21,10.3.0.18,41011,22,TCP,11,982,4432
7,13,14,10.2.0.10,10.2.0.11,24557,5096,UDP,7,79,24
8,31,33,10.3.0.16,10.3.0.18,51297,22,TCP,29,744,2939
9,26,25,10.3.0.11,10.3.0.10,63829,22,TCP,29,1946,3541
10,34,29,10.3.0.19,10.3.0.14,37041,22,TCP,4,1184,5649
11,11,10,10.1.0.20,10.1.0.19,62277,122,TCP,3,6996,3977
12,10,11,10.1.0.19,10.1.0.20,52568,307,TCP,40,9816,963
13,9,7,10.1.0.18,10.1.0.16,58074,406,TCP,55,10503,4110
14,24,16,10.2.0.21,10.2.0.13,37208,5034,UDP,4,87,28
15,12,21,10.1.0.21,10.2.0.18,9216,423,TCP,36,10748,2767
16,31,36,10.3.0.16,10.3.0.21,25614,22,TCP,13,1959,6001
17,9,11,10.1.0.18,10.1.0.20,14699,262,TCP,30,7920,4991
18,7,3,10.1.0.16,10.1.0.12,51329,424,TCP,39,766,278
19,18,17,10.2.0.15,10.2.0.14,7063,5048,UDP,10,104,44
20,29,10,10.3.0.14,10.1.0.19,9507,22,TCP,23,1990,971
21,31,35,10.3.0.16,10.3.0.20,34604,22,TCP,8,618,4796
22,6,7,10.1.0.15,10.1.0.16,30006,343,TCP,19,2219,4543
23,28,33,10.3.0.13,10.3.0.18,26809,35745,ICMP,78,48188,315
24,31,5,10.3.0.16,10.1.0.14,48081,22,TCP,13,1536,5759
25,28,32,10.3.0.13,10.3.0.17,54983,22,TCP,21,2746,3936
26,8,10,10.1.0.17,10.1.0.19,36559,232,TCP,64,8648,383
27,7,8,10.1.0.16,10.1.0.17,20901,158,TCP,8,10675,514
28,31,28,10.3.0.16,10.3.0.13,59717,22,TCP,26,516,2205
29,22,24,10.2.0.19,10.2.0.21,46225,5003,UDP,6,101,17
30,36,7,10.3.0.21,10.1.0.16,41488,9554,TCP,52,47794,1113
31,21,23,10.2.0.18,10.2.0.20,19479,5055,UDP,10,119,41
32,18,13,10.2.0.15,10.2.0.10,21736,5100,UDP,4,190,13
33,35,23,10.3.0.20,10.2.0.20,32797,22,TCP,29,2271,2511
34,9,36,10.1.0.18,10.3.0.21,46877,391,TCP,79,7038,2568
35,23,13,10.2.0.20,10.2.0.10,63954,5091,UDP,10,143,24
36,10,8,10.1.0.19,10.1.0.17,27759,172,TCP,73,2064,1286
37,7,4,10.1.0.16,10.1.0.13,43813,140,TCP,67,13961,2281
38,2,8,10.1.0.11,10.1.0.17,30148,167,TCP,33,3904,4845
