ip,inferred_vlan,subnet,out_flows,in_flows,bytes_per_flow,tcp_ratio,ratio_intra,port_entropy,med_duration
10.1.0.10,VLAN_40,10.1.0.0/24,30.0,32.0,12234.9,0.933,0.767,4.84,2683.0
10.1.0.11,VLAN_40,10.1.0.0/24,31.0,29.0,12587.1,0.806,0.839,4.954,2834.0
10.1.0.12,VLAN_40,10.1.0.0/24,24.0,28.0,8102.5,0.917,0.833,4.585,2602.5
10.1.0.13,VLAN_40,10.1.0.0/24,31.0,30.0,15209.5,0.871,0.806,4.89,2845.0
10.1.0.14,VLAN_40,10.1.0.0/24,31.0,30.0,10593.9,0.903,0.774,4.954,3304.0
10.1.0.15,VLAN_40,10.1.0.0/24,33.0,28.0,12111.8,0.879,0.879,5.044,2802.0
10.1.0.16,VLAN_40,10.1.0.0/24,35.0,37.0,11274.0,0.857,0.914,5.129,3213.0
10.1.0.17,VLAN_40,10.1.0.0/24,23.0,34.0,13210.3,0.957,0.696,4.437,2938.0
10.1.0.18,VLAN_40,10.1.0.0/24,34.0,32.0,10681.5,0.971,0.824,5.087,2600.5
10.1.0.19,VLAN_40,10.1.0.0/24,34.0,39.0,10299.7,0.912,0.912,5.029,1856.5
10.1.0.20,VLAN_40,10.1.0.0/24,37.0,34.0,10882.8,0.892,0.892,5.209,2712.0
10.1.0.21,VLAN_40,10.1.0.0/24,27.0,29.0,14613.6,0.852,0.852,4.755,3282.0
10.2.0.10,VLAN_50,10.2.0.0/24,28.0,25.0,5220.4,0.036,0.929,4.736,34.5
10.2.0.11,VLAN_30,10.2.0.0/24,28.0,28.0,9375.6,0.143,0.786,4.495,45.0
10.2.0.12,VLAN_50,10.2.0.0/24,25.0,37.0,4258.4,0.04,0.88,4.484,43.0
10.2.0.13,VLAN_50,10.2.0.0/24,33.0,26.0,3337.0,0.03,0.909,4.984,34.0
10.2.0.14,VLAN_30,10.2.0.0/24,38.0,22.0,4590.1,0.0,0.737,4.86,40.0
10.2.0.15,VLAN_50,10.2.0.0/24,33.0,29.0,4524.8,0.061,0.879,4.802,44.0
10.2.0.16,VLAN_50,10.2.0.0/24,25.0,31.0,5173.4,0.04,0.84,4.484,36.0
10.2.0.17,VLAN_30,10.2.0.0/24,30.0,28.0,5324.1,0.033,0.667,4.774,38.0
10.2.0.18,VLAN_50,10.2.0.0/24,25.0,17.0,6839.3,0.0,0.84,4.484,41.0
10.2.0.19,VLAN_50,10.2.0.0/24,34.0,34.0,2099.0,0.029,0.824,4.735,44.5
10.2.0.20,VLAN_30,10.2.0.0/24,22.0,36.0,6088.9,0.045,0.773,4.278,34.0
10.2.0.21,VLAN_30,10.2.0.0/24,25.0,30.0,11087.8,0.08,0.72,4.374,35.0
10.3.0.10,VLAN_10,10.3.0.0/24,30.0,24.0,4323.7,0.933,0.667,1.037,3466.5
10.3.0.11,VLAN_10,10.3.0.0/24,28.0,26.0,9394.5,0.821,0.75,1.304,3586.0
10.3.0.12,VLAN_20,10.3.0.0/24,28.0,27.0,5848.4,0.893,0.929,0.877,4952.0
10.3.0.13,VLAN_10,10.3.0.0/24,24.0,38.0,8017.8,0.875,0.792,1.222,3737.0
10.3.0.14,VLAN_20,10.3.0.0/24,31.0,26.0,3167.7,0.968,0.903,0.612,4224.0
10.3.0.15,VLAN_20,10.3.0.0/24,26.0,27.0,2459.7,0.962,0.923,0.235,4014.5
10.3.0.16,VLAN_10,10.3.0.0/24,29.0,20.0,2040.8,1.0,0.793,0.216,5282.0
10.3.0.17,VLAN_20,10.3.0.0/24,30.0,25.0,6576.9,0.933,0.9,0.833,3654.5
10.3.0.18,VLAN_10,10.3.0.0/24,29.0,25.0,4443.8,0.897,0.793,0.855,3257.0
10.3.0.19,VLAN_10,10.3.0.0/24,32.0,33.0,9380.1,0.844,0.781,1.372,5534.5
10.3.0.20,VLAN_10,10.3.0.0/24,28.0,26.0,9067.9,0.857,0.786,1.304,3159.5
10.3.0.21,VLAN_10,10.3.0.0/24,19.0,28.0,6836.8,0.947,0.789,0.591,3913.0
