ts,src_id,dst_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms
1,23,18,10.2.0.20,10.2.0.15,44462,5071,UDP,31,30907,2291
2,11,8,10.1.0.20,10.1.0.17,18304,204,TCP,5,2220,966
3,16,13,10.2.0.13,10.2.0.10,13701,5052,UDP,20,10100,2176
4,31,32,10.3.0.16,10.3.0.17,11211,22,TCP,19,2014,405
5,24,20,10.2.0.21,10.2.0.17,35037,5016,UDP,43,13158,1488
6,36,33,10.3.0.21,10.3.0.18,40968,22,TCP,17,14110,3103
7,13,14,10.2.0.10,10.2.0.11,62625,5084,UDP,33,15048,1830
8,31,33,10.3.0.16,10.3.0.18,5286,22,TCP,49,27734,3899
9,26,25,10.3.0.11,10.3.0.10,7515,22,TCP,48,32256,4868
10,34,29,10.3.0.19,10.3.0.14,38932,22,TCP,5,5225,2796
11,11,10,10.1.0.20,10.1.0.19,8542,248,TCP,1,1172,4748
12,10,11,10.1.0.19,10.1.0.20,41319,196,TCP,25,8025,3997
13,9,7,10.1.0.18,10.1.0.16,58821,387,TCP,34,41106,4423
14,24,16,10.2.0.21,10.2.0.13,22884,5059,UDP,16,9056,2809
15,12,18,10.1.0.21,10.2.0.15,23656,327,ICMP,22,18260,643
16,31,36,10.3.0.16,10.3.0.21,57532,22,TCP,20,22140,1912
17,9,11,10.1.0.18,10.1.0.20,33448,104,TCP,18,26244,1068
18,7,3,10.1.0.16,10.1.0.12,62017,142,TCP,24,3072,3901
19,18,17,10.2.0.15,10.2.0.14,32248,5022,UDP,49,48804,477
20,29,18,10.3.0.14,10.2.0.15,19449,22,UDP,37,8066,666
21,31,35,10.3.0.16,10.3.0.20,49298,22,TCP,12,10728,2607
22,6,7,10.1.0.15,10.1.0.16,47673,200,TCP,11,14641,2252
23,28,33,10.3.0.13,10.3.0.18,35745,22,TCP,38,43776,167
24,15,34,10.2.0.12,10.3.0.19,25812,5057,UDP,12,8760,1997
25,26,34,10.3.0.11,10.3.0.19,38591,22,TCP,6,8004,3323
26,18,15,10.2.0.15,10.2.0.12,51105,5043,UDP,21,17829,3917
27,3,2,10.1.0.12,10.1.0.11,41230,158,TCP,11,11484,360
28,4,11,10.1.0.13,10.1.0.20,23071,84,TCP,21,4641,4143
29,10,27,10.1.0.19,10.3.0.12,60559,83,TCP,2,1070,2628
30,6,12,10.1.0.15,10.1.0.21,40486,407,TCP,48,11904,742
31,27,26,10.3.0.12,10.3.0.11,38336,22,TCP,42,37128,2737
32,16,27,10.2.0.13,10.3.0.12,32084,5028,UDP,2,1830,4963
33,31,25,10.3.0.16,10.3.0.10,62719,22,TCP,45,20610,4068
34,27,8,10.3.0.12,10.1.0.17,15364,22,ICMP,49,17787,4277
35,17,25,10.2.0.14,10.3.0.10,40478,5071,UDP,1,265,4512
36,21,7,10.2.0.18,10.1.0.16,18898,5098,UDP,36,21168,1285
37,4,18,10.1.0.13,10.2.0.15,13013,230,TCP,15,15990,837
38,34,29,10.3.0.19,10.3.0.14,3952,22,TCP,29,5597,1210
39,9,12,10.1.0.18,10.1.0.21,6636,244,TCP,7,4109,1830
40,5,12,10.1.0.14,10.1.0.21,52417,170,TCP,16,7920,4149
41,35,8,10.3.0.20,10.1.0.17,16498,22,TCP,21,7287,2023
42,17,7,10.2.0.14,10.1.0.16,42456,5099,UDP,28,36540,3895
43,18,19,10.2.0.15,10.2.0.16,28665,5076,UDP,14,3542,1398
44,33,19,10.3.0.18,10.2.0.16,39097,22,TCP,47,16591,1595
45,23,18,10.2.0.20,10.2.0.15,53369,5059,UDP,23,24219,1823
46,9,1,10.1.0.18,10.1.0.10,33263,434,TCP,25,25525,3724
47,15,13,10.2.0.12,10.2.0.10,59690,5021,UDP,27,35208,3373
48,10,5,10.1.0.19,10.1.0.14,8318,170,TCP,19,24301,2122
49,35,32,10.3.0.20,10.3.0.17,27085,22,TCP,12,11556,4909
50,23,3,10.2.0.20,10.1.0.12,51323,5010,UDP,20,8480,2403
51,3,4,10.1.0.12,10.1.0.13,5120,429,TCP,41,54571,607
52,1,10,10.1.0.10,10.1.0.19,61257,187,TCP,46,41032,2418
53,4,22,10.1.0.13,10.2.0.19,9238,368,TCP,49,21168,1412
54,16,24,10.2.0.13,10.2.0.21,19234,5035,UDP,14,20090,1182
55,20,13,10.2.0.17,10.2.0.10,6563,5050,UDP,45,41175,1978
56,15,19,10.2.0.12,10.2.0.16,9038,5056,UDP,2,966,1015
57,30,32,10.3.0.15,10.3.0.17,40363,22,TCP,44,5456,597
58,28,25,10.3.0.13,10.3.0.10,11722,22,TCP,11,2497,4772
59,34,32,10.3.0.19,10.3.0.17,45709,22,TCP,12,13560,464
60,7,4,10.1.0.16,10.1.0.13,13746,252,TCP,19,20482,4522
61,14,20,10.2.0.11,10.2.0.17,58053,5052,UDP,14,13692,2363
62,18,14,10.2.0.15,10.2.0.11,13759,5099,UDP,24,18096,4672
63,30,34,10.3.0.15,10.3.0.19,8081,22,ICMP,9,11223,1749
64,30,29,10.3.0.15,10.3.0.14,46561,22,TCP,23,18538,4124
65,33,12,10.3.0.18,10.1.0.21,43737,22,TCP,7,2219,1028
66,12,5,10.1.0.21,10.1.0.14,30640,170,TCP,47,17860,4779
67,1,28,10.1.0.10,10.3.0.13,11012,200,TCP,26,2262,536
68,22,19,10.2.0.19,10.2.0.16,11660,5021,UDP,3,2814,4923
69,23,18,10.2.0.20,10.2.0.15,16278,5024,UDP,19,21204,4113
70,33,32,10.3.0.18,10.3.0.17,35411,22,TCP,15,18540,2096
71,23,33,10.2.0.20,10.3.0.18,51089,5039,UDP,13,6682,1269
72,18,33,10.2.0.15,10.3.0.18,58113,5010,UDP,33,8547,3558
73,35,26,10.3.0.20,10.3.0.11,50078,22,TCP,39,6981,1608
