ts,src_id,dst_id,src_ip,dst_ip,packets,bytes
1,23,18,10.2.0.20,10.2.0.15,15,15030
2,6,9,10.1.0.15,10.1.0.18,10,5450
3,24,16,10.2.0.21,10.2.0.13,7,5663
4,4,3,10.1.0.13,10.1.0.12,10,7710
5,3,4,10.1.0.12,10.1.0.13,13,8645
6,12,10,10.1.0.21,10.1.0.19,8,6944
7,12,8,10.1.0.21,10.1.0.17,9,1944
8,3,7,10.1.0.12,10.1.0.16,15,5730
9,19,23,10.2.0.16,10.2.0.20,5,2705
10,36,33,10.3.0.21,10.3.0.18,16,14976
11,11,7,10.1.0.20,10.1.0.16,13,7800
12,5,11,10.1.0.14,10.1.0.20,20,8940
13,24,17,10.2.0.21,10.2.0.14,18,18306
14,26,25,10.3.0.11,10.3.0.10,5,6780
15,13,21,10.2.0.10,10.2.0.18,17,4590
16,26,32,10.3.0.11,10.3.0.17,20,14220
17,36,18,10.3.0.21,10.2.0.15,9,10089
18,22,13,10.2.0.19,10.2.0.10,15,12915
19,11,10,10.1.0.20,10.1.0.19,10,3220
20,17,22,10.2.0.14,10.2.0.19,20,10180
21,10,20,10.1.0.19,10.2.0.17,13,12532
22,18,22,10.2.0.15,10.2.0.19,6,1404
23,20,23,10.2.0.17,10.2.0.20,15,15030
24,30,16,10.3.0.15,10.2.0.13,7,4298
25,22,15,10.2.0.19,10.2.0.12,8,4944
26,21,24,10.2.0.18,10.2.0.21,6,6054
27,13,29,10.2.0.10,10.3.0.14,10,8500
28,5,2,10.1.0.14,10.1.0.11,20,10060
29,32,29,10.3.0.17,10.3.0.14,16,10320
30,9,11,10.1.0.18,10.1.0.20,3,2379
31,19,24,10.2.0.16,10.2.0.21,6,2352
32,20,14,10.2.0.17,10.2.0.11,19,3838
33,17,22,10.2.0.14,10.2.0.19,11,2629
34,16,19,10.2.0.13,10.2.0.16,8,10880
35,25,34,10.3.0.10,10.3.0.19,19,20140
36,30,36,10.3.0.15,10.3.0.21,14,15106
37,4,11,10.1.0.13,10.1.0.20,14,17346
38,24,14,10.2.0.21,10.2.0.11,6,5430
39,19,13,10.2.0.16,10.2.0.10,11,6435
40,27,28,10.3.0.12,10.3.0.13,19,13832
41,28,33,10.3.0.13,10.3.0.18,18,15066
42,26,34,10.3.0.11,10.3.0.19,2,1336
43,31,14,10.3.0.16,10.2.0.11,9,6192
44,9,5,10.1.0.18,10.1.0.14,15,16050
45,28,32,10.3.0.13,10.3.0.17,3,969
46,33,30,10.3.0.18,10.3.0.15,17,7259
47,16,13,10.2.0.13,10.2.0.10,9,7794
48,29,32,10.3.0.14,10.3.0.17,5,2220
49,23,15,10.2.0.20,10.2.0.12,15,3975
50,4,11,10.1.0.13,10.1.0.20,2,1194
51,20,14,10.2.0.17,10.2.0.11,17,8585
52,33,25,10.3.0.18,10.3.0.10,19,20596
53,2,7,10.1.0.11,10.1.0.16,4,4140
54,36,15,10.3.0.21,10.2.0.12,12,16032
55,5,10,10.1.0.14,10.1.0.19,11,3465
56,23,19,10.2.0.20,10.2.0.16,17,15232
57,20,23,10.2.0.17,10.2.0.20,13,6877
58,18,13,10.2.0.15,10.2.0.10,13,18083
59,31,25,10.3.0.16,10.3.0.10,8,10776
60,32,35,10.3.0.17,10.3.0.20,7,8204
61,27,8,10.3.0.12,10.1.0.17,11,4961
62,35,24,10.3.0.20,10.2.0.21,6,7338
63,17,25,10.2.0.14,10.3.0.10,15,13890
64,6,2,10.1.0.15,10.1.0.11,19,16663
65,35,36,10.3.0.20,10.3.0.21,7,5502
66,26,28,10.3.0.11,10.3.0.13,4,5136
67,9,3,10.1.0.18,10.1.0.12,10,5370
68,26,36,10.3.0.11,10.3.0.21,17,12410
69,24,21,10.2.0.21,10.2.0.18,12,3516
70,9,5,10.1.0.18,10.1.0.14,20,14620
71,4,2,10.1.0.13,10.1.0.11,9,5625
72,5,12,10.1.0.14,10.1.0.21,6,6912
73,27,29,10.3.0.12,10.3.0.14,17,22780
74,31,25,10.3.0.16,10.3.0.10,6,5088
75,15,18,10.2.0.12,10.2.0.15,10,13960
76,11,28,10.1.0.20,10.3.0.13,10,8460
77,32,30,10.3.0.17,10.3.0.15,14,11368
78,28,26,10.3.0.13,10.3.0.11,7,2415
79,11,34,10.1.0.20,10.3.0.19,16,11456
80,22,24,10.2.0.19,10.2.0.21,5,2835
81,23,18,10.2.0.20,10.2.0.15,13,15210
82,28,33,10.3.0.13,10.3.0.18,8,3864
83,27,36,10.3.0.12,10.3.0.21,11,2057
84,18,22,10.2.0.15,10.2.0.19,9,3402
85,1,12,10.1.0.10,10.1.0.21,14,11438
86,32,27,10.3.0.17,10.3.0.12,7,5005
87,9,6,10.1.0.18,10.1.0.15,9,11178
88,16,3,10.2.0.13,10.1.0.12,14,11690
89,15,16,10.2.0.12,10.2.0.13,14,19292
90,23,3,10.2.0.20,10.1.0.12,4,4528
91,19,15,10.2.0.16,10.2.0.12,11,2772
92,13,24,10.2.0.10,10.2.0.21,3,3177
93,30,3,10.3.0.15,10.1.0.12,2,772
